"Time (s)","Acceleration x (m/s²)","Acceleration y (m/s²)","Acceleration z (m/s²)"
3.918594119E2,-1.164000034E0,2.295000076E0,9.796050072E0
3.918618677E2,-1.186050057E0,2.340000153E0,9.706950188E0
3.918643234E2,-1.231950045E0,2.340000153E0,9.636000633E0
3.918667793E2,-1.287000060E0,2.398050070E0,9.540000916E0
3.918692350E2,-1.348950028E0,2.443050146E0,9.457950592E0
3.918716908E2,-1.399050117E0,2.485950232E0,9.348000526E0
3.918741477E2,-1.495050073E0,2.560950041E0,9.241050720E0
3.918766024E2,-1.525950074E0,2.551050186E0,9.175950050E0
3.918790581E2,-1.605000019E0,2.617950201E0,9.090000153E0
3.918815139E2,-1.669950128E0,2.601000071E0,9.019950867E0
3.918839695E2,-1.684050083E0,2.589000225E0,8.958000183E0
3.918864255E2,-1.489950061E0,2.416950226E0,8.896050453E0
3.918888812E2,-1.336950064E0,2.271000147E0,8.898000717E0
3.918913369E2,-1.461000085E0,2.307000160E0,8.829000473E0
3.918937939E2,-1.555050015E0,2.425950050E0,8.800050735E0
3.918962486E2,-1.654950023E0,2.563050032E0,8.845050812E0
3.918987042E2,-1.684050083E0,2.653950214E0,8.884050369E0
3.919011600E2,-1.758000135E0,2.761950016E0,8.869050026E0
3.919036157E2,-1.717950106E0,2.698950052E0,8.877000809E0
3.919060716E2,-1.746000051E0,2.664000034E0,8.845050812E0
3.919085274E2,-1.842000127E0,2.764050245E0,8.782950401E0
3.919109831E2,-1.858950138E0,2.704050064E0,8.776050568E0
3.919134400E2,-2.007000208E0,2.878950119E0,8.782950401E0
3.919158948E2,-2.251049995E0,3.174000263E0,8.761950493E0
3.919183505E2,-2.329950094E0,3.193050146E0,8.707050323E0
3.919208062E2,-2.359050035E0,3.114000082E0,8.674950600E0
3.919232621E2,-2.320950031E0,2.962950230E0,8.673000336E0
3.919257178E2,-2.208000183E0,2.778000116E0,8.805000305E0
3.919281736E2,-2.077050209E0,2.560950041E0,8.986950874E0
3.919306293E2,-1.990050077E0,2.380950212E0,9.250050545E0
3.919330864E2,-1.935000062E0,2.235000134E0,9.463050842E0
3.919355409E2,-1.923000097E0,2.167950153E0,9.652050018E0
3.919379967E2,-1.890000105E0,2.103000164E0,9.760050774E0
3.919404524E2,-1.888050079E0,2.113049984E0,9.868050575E0
